"emp_no","dept_name"
10922,"Sales"
10923,"Sales"
10924,"Sales"
10953,"Sales"
10955,"Sales"
10957,"Sales"
10959,"Sales"
10960,"Sales"
10962,"Sales"
10965,"Sales"
10968,"Sales"
10977,"Sales"
10981,"Sales"
10996,"Sales"
10998,"Sales"
11002,"Sales"
11008,"Sales"
11009,"Sales"
11015,"Sales"
11022,"Sales"
11023,"Sales"
11024,"Sales"
11029,"Sales"
11030,"Sales"
11044,"Sales"
11048,"Sales"
11049,"Sales"
11055,"Sales"
11056,"Sales"
11057,"Sales"
11060,"Sales"
11061,"Sales"
11086,"Sales"
11089,"Sales"
11092,"Sales"
11097,"Sales"
11099,"Sales"
11102,"Sales"
11109,"Sales"
11120,"Sales"
11124,"Sales"
11144,"Sales"
11146,"Sales"
11149,"Sales"
11150,"Sales"
11155,"Sales"
11159,"Sales"
11163,"Sales"
11164,"Sales"
11168,"Sales"
11172,"Sales"
11189,"Sales"
11190,"Sales"
11197,"Sales"
11198,"Sales"
11205,"Sales"
11206,"Sales"
11212,"Sales"
11214,"Sales"
11222,"Sales"
11226,"Sales"
11237,"Sales"
11239,"Sales"
11241,"Sales"
11248,"Sales"
11254,"Sales"
11256,"Sales"
11259,"Sales"
11269,"Sales"
11271,"Sales"
11272,"Sales"
11282,"Sales"
11286,"Sales"
11288,"Sales"
11302,"Sales"
11306,"Sales"
11307,"Sales"
11310,"Sales"
11315,"Sales"
11318,"Sales"
11328,"Sales"
11329,"Sales"
11334,"Sales"
11338,"Sales"
11344,"Sales"
11353,"Sales"
11359,"Sales"
11360,"Sales"
11372,"Sales"
11377,"Sales"
11389,"Sales"
11401,"Sales"
11402,"Sales"
11412,"Sales"
11427,"Sales"
11429,"Sales"
11430,"Sales"
11441,"Sales"
11443,"Sales"
11468,"Sales"
11472,"Sales"
11478,"Sales"
11480,"Sales"
11482,"Sales"
11483,"Sales"
11484,"Sales"
11486,"Sales"
11493,"Sales"
11495,"Sales"
11506,"Sales"
11515,"Sales"
11519,"Sales"
11521,"Sales"
11530,"Sales"
11535,"Sales"
11537,"Sales"
11546,"Sales"
11547,"Sales"
11552,"Sales"
11556,"Sales"
11557,"Sales"
11567,"Sales"
11579,"Sales"
11586,"Sales"
11594,"Sales"
11601,"Sales"
11609,"Sales"
11611,"Sales"
11615,"Sales"
11618,"Sales"
11619,"Sales"
11621,"Sales"
11632,"Sales"
11659,"Sales"
11660,"Sales"
11662,"Sales"
11663,"Sales"
11664,"Sales"
11666,"Sales"
11668,"Sales"
11671,"Sales"
11672,"Sales"
11680,"Sales"
11688,"Sales"
11696,"Sales"
11698,"Sales"
11706,"Sales"
11708,"Sales"
11715,"Sales"
11717,"Sales"
11718,"Sales"
11720,"Sales"
11723,"Sales"
11728,"Sales"
11729,"Sales"
11730,"Sales"
11740,"Sales"
11746,"Sales"
11747,"Sales"
11753,"Sales"
11773,"Sales"
11781,"Sales"
11785,"Sales"
11797,"Sales"
11801,"Sales"
11811,"Sales"
11813,"Sales"
11817,"Sales"
11828,"Sales"
11830,"Sales"
11838,"Sales"
11840,"Sales"
11849,"Sales"
11850,"Sales"
11852,"Sales"
11857,"Sales"
11859,"Sales"
11873,"Sales"
11874,"Sales"
11880,"Sales"
11881,"Sales"
11882,"Sales"
11884,"Sales"
11890,"Sales"
11892,"Sales"
11897,"Sales"
11904,"Sales"
11908,"Sales"
11927,"Sales"
11936,"Sales"
11941,"Sales"
11946,"Sales"
11947,"Sales"
11961,"Sales"
11962,"Sales"
11964,"Sales"
11966,"Sales"
11969,"Sales"
11980,"Sales"
12011,"Sales"
12012,"Sales"
12013,"Sales"
12026,"Sales"
12034,"Sales"
12036,"Sales"
12046,"Sales"
12054,"Sales"
12067,"Sales"
12076,"Sales"
12080,"Sales"
12082,"Sales"
12097,"Sales"
12098,"Sales"
12099,"Sales"
12100,"Sales"
12102,"Sales"
12113,"Sales"
12119,"Sales"
12128,"Sales"
12129,"Sales"
12146,"Sales"
12149,"Sales"
12160,"Sales"
12178,"Sales"
12184,"Sales"
12189,"Sales"
12199,"Sales"
12213,"Sales"
12224,"Sales"
12225,"Sales"
12229,"Sales"
12232,"Sales"
12234,"Sales"
12235,"Sales"
12237,"Sales"
12253,"Sales"
12259,"Sales"
12261,"Sales"
12273,"Sales"
12284,"Sales"
12290,"Sales"
12291,"Sales"
12294,"Sales"
12295,"Sales"
12296,"Sales"
12297,"Sales"
12301,"Sales"
12306,"Sales"
12318,"Sales"
12321,"Sales"
12325,"Sales"
12330,"Sales"
12349,"Sales"
12358,"Sales"
12373,"Sales"
12390,"Sales"
12393,"Sales"
12398,"Sales"
12399,"Sales"
12400,"Sales"
12411,"Sales"
12412,"Sales"
12414,"Sales"
12415,"Sales"
12430,"Sales"
12435,"Sales"
12438,"Sales"
12448,"Sales"
12454,"Sales"
12457,"Sales"
12460,"Sales"
12464,"Sales"
12478,"Sales"
12491,"Sales"
12497,"Sales"
12499,"Sales"
12505,"Sales"
12513,"Sales"
12521,"Sales"
12523,"Sales"
12537,"Sales"
12541,"Sales"
12552,"Sales"
12560,"Sales"
12565,"Sales"
12567,"Sales"
12575,"Sales"
12582,"Sales"
12590,"Sales"
12591,"Sales"
12593,"Sales"
12595,"Sales"
12598,"Sales"
12605,"Sales"
12612,"Sales"
12617,"Sales"
12620,"Sales"
12622,"Sales"
12624,"Sales"
12625,"Sales"
12629,"Sales"
12640,"Sales"
12645,"Sales"
12651,"Sales"
12656,"Sales"
12658,"Sales"
12660,"Sales"
12664,"Sales"
12673,"Sales"
12675,"Sales"
12681,"Sales"
12685,"Sales"
12687,"Sales"
12690,"Sales"
12698,"Sales"
12699,"Sales"
12703,"Sales"
12704,"Sales"
12705,"Sales"
12707,"Sales"
12708,"Sales"
12716,"Sales"
12720,"Sales"
12724,"Sales"
12732,"Sales"
12742,"Sales"
12756,"Sales"
12759,"Sales"
12761,"Sales"
12766,"Sales"
12770,"Sales"
12777,"Sales"
12781,"Sales"
12790,"Sales"
12798,"Sales"
12800,"Sales"
12803,"Sales"
12805,"Sales"
12818,"Sales"
12826,"Sales"
12834,"Sales"
12845,"Sales"
12858,"Sales"
12862,"Sales"
12870,"Sales"
12872,"Sales"
12873,"Sales"
12875,"Sales"
12880,"Sales"
12881,"Sales"
12886,"Sales"
12890,"Sales"
12893,"Sales"
12894,"Sales"
12902,"Sales"
12903,"Sales"
12909,"Sales"
12915,"Sales"
12917,"Sales"
12919,"Sales"
12922,"Sales"
12931,"Sales"
12943,"Sales"
12951,"Sales"
12954,"Sales"
12955,"Sales"
12962,"Sales"
12964,"Sales"
12969,"Sales"
12974,"Sales"
12976,"Sales"
12985,"Sales"
12993,"Sales"
12996,"Sales"
13007,"Sales"
13018,"Sales"
13028,"Sales"
13033,"Sales"
13034,"Sales"
13035,"Sales"
13036,"Sales"
13037,"Sales"
13043,"Sales"
13056,"Sales"
13065,"Sales"
13073,"Sales"
13075,"Sales"
13081,"Sales"
13083,"Sales"
13093,"Sales"
13112,"Sales"
13115,"Sales"
13117,"Sales"
13124,"Sales"
13142,"Sales"
13146,"Sales"
13147,"Sales"
13154,"Sales"
13158,"Sales"
13162,"Sales"
13169,"Sales"
13172,"Sales"
13173,"Sales"
13176,"Sales"
13178,"Sales"
13179,"Sales"
13186,"Sales"
13187,"Sales"
13201,"Sales"
13205,"Sales"
13210,"Sales"
13212,"Sales"
13213,"Sales"
13223,"Sales"
13227,"Sales"
13236,"Sales"
13238,"Sales"
13241,"Sales"
13243,"Sales"
13246,"Sales"
13248,"Sales"
13249,"Sales"
13259,"Sales"
13261,"Sales"
13264,"Sales"
13268,"Sales"
13292,"Sales"
13293,"Sales"
13303,"Sales"
13305,"Sales"
13308,"Sales"
13329,"Sales"
13335,"Sales"
13345,"Sales"
13349,"Sales"
13367,"Sales"
13372,"Sales"
13384,"Sales"
13387,"Sales"
13392,"Sales"
13403,"Sales"
13404,"Sales"
13405,"Sales"
13410,"Sales"
13413,"Sales"
13414,"Sales"
13417,"Sales"
13419,"Sales"
13423,"Sales"
13427,"Sales"
13428,"Sales"
13431,"Sales"
13432,"Sales"
13436,"Sales"
13447,"Sales"
13449,"Sales"
13466,"Sales"
13475,"Sales"
13477,"Sales"
13479,"Sales"
13489,"Sales"
13491,"Sales"
13496,"Sales"
13498,"Sales"
13501,"Sales"
13503,"Sales"
13513,"Sales"
13515,"Sales"
13519,"Sales"
13524,"Sales"
13528,"Sales"
13529,"Sales"
13540,"Sales"
13542,"Sales"
13543,"Sales"
13544,"Sales"
13551,"Sales"
13553,"Sales"
13555,"Sales"
13559,"Sales"
13564,"Sales"
13577,"Sales"
13588,"Sales"
13599,"Sales"
13602,"Sales"
13604,"Sales"
13605,"Sales"
13606,"Sales"
13607,"Sales"
13608,"Sales"
13618,"Sales"
13622,"Sales"
13632,"Sales"
13650,"Sales"
13656,"Sales"
13660,"Sales"
13661,"Sales"
13672,"Sales"
13676,"Sales"
13680,"Sales"
13684,"Sales"
13690,"Sales"
13691,"Sales"
13692,"Sales"
13700,"Sales"
13709,"Sales"
13715,"Sales"
13718,"Sales"
13720,"Sales"
13721,"Sales"
13723,"Sales"
13736,"Sales"
13747,"Sales"
13752,"Sales"
13754,"Sales"
13758,"Sales"
13762,"Sales"
13763,"Sales"
13764,"Sales"
13769,"Sales"
13770,"Sales"
13775,"Sales"
13784,"Sales"
13785,"Sales"
13786,"Sales"
13790,"Sales"
13801,"Sales"
13805,"Sales"
13808,"Sales"
13812,"Sales"
13836,"Sales"
13845,"Sales"
13848,"Sales"
13856,"Sales"
13863,"Sales"
13865,"Sales"
13866,"Sales"
13871,"Sales"
13878,"Sales"
13891,"Sales"
13898,"Sales"
13902,"Sales"
13909,"Sales"
13916,"Sales"
13928,"Sales"
13930,"Sales"
13941,"Sales"
13943,"Sales"
13947,"Sales"
13949,"Sales"
13951,"Sales"
13975,"Sales"
13978,"Sales"
13983,"Sales"
13986,"Sales"
13993,"Sales"
13994,"Sales"
14000,"Sales"
14009,"Sales"
14025,"Sales"
14028,"Sales"
14036,"Sales"
14050,"Sales"
14054,"Sales"
14065,"Sales"
14066,"Sales"
14071,"Sales"
14081,"Sales"
14082,"Sales"
14086,"Sales"
14095,"Sales"
14105,"Sales"
14108,"Sales"
14119,"Sales"
14122,"Sales"
14125,"Sales"
14142,"Sales"
14156,"Sales"
14158,"Sales"
14160,"Sales"
14172,"Sales"
14176,"Sales"
14179,"Sales"
14181,"Sales"
14182,"Sales"
14184,"Sales"
14187,"Sales"
14189,"Sales"
14197,"Sales"
14200,"Sales"
14221,"Sales"
14238,"Sales"
14241,"Sales"
14252,"Sales"
14264,"Sales"
14273,"Sales"
14275,"Sales"
14278,"Sales"
14282,"Sales"
14310,"Sales"
14315,"Sales"
14325,"Sales"
14343,"Sales"
14354,"Sales"
14357,"Sales"
14359,"Sales"
14364,"Sales"
14366,"Sales"
14373,"Sales"
14375,"Sales"
14381,"Sales"
14382,"Sales"
14387,"Sales"
14396,"Sales"
14397,"Sales"
14404,"Sales"
14409,"Sales"
14413,"Sales"
14428,"Sales"
14429,"Sales"
14432,"Sales"
14442,"Sales"
14443,"Sales"
14454,"Sales"
14461,"Sales"
14465,"Sales"
14468,"Sales"
14472,"Sales"
14478,"Sales"
14480,"Sales"
14487,"Sales"
14508,"Sales"
14513,"Sales"
14516,"Sales"
14519,"Sales"
14523,"Sales"
14524,"Sales"
14527,"Sales"
14528,"Sales"
14538,"Sales"
14541,"Sales"
14544,"Sales"
14549,"Sales"
14550,"Sales"
14551,"Sales"
14553,"Sales"
14562,"Sales"
14575,"Sales"
14591,"Sales"
14595,"Sales"
14597,"Sales"
14604,"Sales"
14607,"Sales"
14610,"Sales"
14611,"Sales"
14618,"Sales"
14621,"Sales"
14628,"Sales"
14639,"Sales"
14644,"Sales"
14648,"Sales"
14657,"Sales"
14658,"Sales"
14662,"Sales"
14665,"Sales"
14673,"Sales"
14676,"Sales"
14684,"Sales"
14685,"Sales"
14686,"Sales"
14705,"Sales"
14706,"Sales"
14707,"Sales"
14715,"Sales"
14721,"Sales"
14735,"Sales"
14736,"Sales"
14737,"Sales"
14742,"Sales"
14747,"Sales"
14758,"Sales"
14761,"Sales"
14767,"Sales"
14778,"Sales"
14783,"Sales"
14787,"Sales"
14805,"Sales"
14807,"Sales"
14813,"Sales"
14826,"Sales"
14827,"Sales"
14830,"Sales"
14836,"Sales"
14837,"Sales"
14838,"Sales"
14841,"Sales"
14842,"Sales"
14845,"Sales"
14847,"Sales"
14863,"Sales"
14864,"Sales"
14865,"Sales"
14871,"Sales"
14881,"Sales"
14882,"Sales"
14886,"Sales"
14888,"Sales"
14889,"Sales"
14891,"Sales"
14894,"Sales"
14898,"Sales"
14899,"Sales"
14903,"Sales"
14904,"Sales"
14907,"Sales"
14937,"Sales"
14957,"Sales"
14958,"Sales"
14966,"Sales"
14969,"Sales"
14973,"Sales"
14979,"Sales"
14985,"Sales"
14986,"Sales"
14990,"Sales"
14991,"Sales"
15000,"Sales"
15006,"Sales"
15007,"Sales"
15011,"Sales"
15023,"Sales"
15030,"Sales"
15039,"Sales"
15043,"Sales"
15046,"Sales"
15053,"Sales"
15062,"Sales"
15064,"Sales"
15071,"Sales"
15095,"Sales"
15097,"Sales"
15099,"Sales"
15100,"Sales"
15105,"Sales"
15110,"Sales"
15113,"Sales"
15120,"Sales"
15127,"Sales"
15130,"Sales"
15134,"Sales"
15139,"Sales"
15143,"Sales"
15151,"Sales"
15161,"Sales"
15170,"Sales"
15176,"Sales"
15181,"Sales"
15184,"Sales"
15188,"Sales"
15203,"Sales"
15206,"Sales"
15209,"Sales"
15210,"Sales"
15213,"Sales"
15214,"Sales"
15221,"Sales"
15223,"Sales"
15227,"Sales"
15242,"Sales"
15263,"Sales"
15264,"Sales"
15268,"Sales"
15271,"Sales"
15277,"Sales"
15284,"Sales"
15292,"Sales"
15304,"Sales"
15306,"Sales"
15307,"Sales"
15313,"Sales"
15326,"Sales"
15330,"Sales"
15333,"Sales"
15341,"Sales"
15347,"Sales"
15359,"Sales"
15360,"Sales"
15364,"Sales"
15367,"Sales"
15369,"Sales"
15371,"Sales"
15372,"Sales"
15378,"Sales"
15381,"Sales"
15382,"Sales"
15388,"Sales"
15394,"Sales"
15404,"Sales"
15410,"Sales"
15415,"Sales"
15418,"Sales"
15432,"Sales"
15454,"Sales"
15466,"Sales"
15469,"Sales"
15474,"Sales"
15478,"Sales"
15489,"Sales"
15493,"Sales"
15495,"Sales"
15499,"Sales"
15501,"Sales"
15503,"Sales"
15506,"Sales"
15507,"Sales"
15511,"Sales"
15521,"Sales"
15529,"Sales"
15533,"Sales"
15539,"Sales"
15546,"Sales"
15558,"Sales"
15566,"Sales"
15577,"Sales"
15583,"Sales"
15590,"Sales"
15596,"Sales"
15598,"Sales"
15601,"Sales"
15605,"Sales"
15607,"Sales"
15614,"Sales"
15620,"Sales"
15622,"Sales"
15641,"Sales"
15644,"Sales"
15646,"Sales"
15652,"Sales"
15659,"Sales"
15674,"Sales"
15680,"Sales"
15681,"Sales"
15702,"Sales"
15707,"Sales"
15708,"Sales"
15709,"Sales"
15715,"Sales"
15716,"Sales"
15718,"Sales"
15725,"Sales"
15729,"Sales"
15740,"Sales"
15756,"Sales"
15760,"Sales"
15761,"Sales"
15763,"Sales"
15776,"Sales"
15782,"Sales"
15783,"Sales"
15790,"Sales"
15799,"Sales"
15805,"Sales"
15808,"Sales"
15812,"Sales"
15813,"Sales"
15819,"Sales"
15836,"Sales"
15837,"Sales"
15838,"Sales"
15839,"Sales"
15840,"Sales"
15857,"Sales"
15873,"Sales"
15875,"Sales"
15878,"Sales"
15896,"Sales"
15904,"Sales"
15912,"Sales"
15918,"Sales"
15921,"Sales"
15922,"Sales"
15925,"Sales"
15932,"Sales"
15938,"Sales"
15953,"Sales"
15958,"Sales"
15967,"Sales"
15969,"Sales"
15980,"Sales"
15987,"Sales"
16001,"Sales"
16005,"Sales"
16006,"Sales"
16014,"Sales"
16031,"Sales"
16034,"Sales"
16036,"Sales"
16049,"Sales"
16051,"Sales"
16062,"Sales"
16066,"Sales"
16071,"Sales"
16105,"Sales"
16107,"Sales"
16112,"Sales"
16113,"Sales"
16115,"Sales"
16117,"Sales"
16149,"Sales"
16150,"Sales"
16153,"Sales"
16156,"Sales"
16161,"Sales"
16170,"Sales"
16173,"Sales"
16175,"Sales"
16193,"Sales"
16194,"Sales"
16199,"Sales"
16205,"Sales"
16215,"Sales"
16217,"Sales"
16224,"Sales"
16225,"Sales"
16226,"Sales"
16233,"Sales"
16245,"Sales"
16256,"Sales"
16257,"Sales"
16262,"Sales"
16266,"Sales"
16269,"Sales"
16279,"Sales"
16283,"Sales"
16284,"Sales"
16285,"Sales"
16286,"Sales"
16288,"Sales"
16289,"Sales"
16297,"Sales"
16304,"Sales"
16307,"Sales"
16322,"Sales"
16331,"Sales"
16338,"Sales"
16355,"Sales"
16359,"Sales"
16364,"Sales"
16366,"Sales"
16367,"Sales"
16372,"Sales"
16373,"Sales"
16375,"Sales"
16378,"Sales"
16396,"Sales"
16398,"Sales"
16399,"Sales"
16403,"Sales"
16421,"Sales"
16424,"Sales"
16428,"Sales"
16435,"Sales"
16437,"Sales"
16441,"Sales"
16446,"Sales"
16461,"Sales"
16474,"Sales"
16475,"Sales"
16477,"Sales"
16480,"Sales"
16484,"Sales"
16485,"Sales"
16487,"Sales"
16490,"Sales"
16495,"Sales"
16500,"Sales"
16502,"Sales"
16513,"Sales"
16523,"Sales"
16538,"Sales"
16540,"Sales"
16558,"Sales"
16564,"Sales"
16574,"Sales"
16581,"Sales"
16583,"Sales"
16584,"Sales"
16590,"Sales"
16594,"Sales"
16607,"Sales"
16613,"Sales"
16618,"Sales"
16620,"Sales"
16640,"Sales"
16641,"Sales"
16645,"Sales"
16647,"Sales"
16648,"Sales"
16650,"Sales"
16651,"Sales"
16654,"Sales"
16659,"Sales"
16667,"Sales"
16668,"Sales"
16671,"Sales"
16672,"Sales"
16676,"Sales"
16681,"Sales"
16685,"Sales"
16693,"Sales"
16699,"Sales"
16700,"Sales"
16705,"Sales"
16710,"Sales"
16712,"Sales"
16714,"Sales"
16715,"Sales"
16722,"Sales"
16734,"Sales"
16740,"Sales"
16745,"Sales"
16749,"Sales"
16750,"Sales"
16763,"Sales"
16772,"Sales"
16774,"Sales"
16780,"Sales"
16782,"Sales"
16784,"Sales"
16788,"Sales"
16789,"Sales"
16806,"Sales"
16808,"Sales"
16821,"Sales"
16824,"Sales"
16829,"Sales"
16834,"Sales"
16836,"Sales"
16838,"Sales"
16844,"Sales"
16853,"Sales"
16855,"Sales"
16856,"Sales"
16858,"Sales"
16866,"Sales"
16870,"Sales"
16873,"Sales"
16885,"Sales"
16886,"Sales"
16889,"Sales"
16891,"Sales"
16893,"Sales"
16908,"Sales"
16914,"Sales"
16918,"Sales"
16921,"Sales"
16928,"Sales"
16932,"Sales"
16936,"Sales"
16944,"Sales"
16956,"Sales"
16960,"Sales"
16970,"Sales"
16972,"Sales"
16975,"Sales"
16980,"Sales"
16993,"Sales"
16996,"Sales"
17006,"Sales"
17007,"Sales"
17009,"Sales"
17011,"Sales"
17014,"Sales"
17019,"Sales"
17026,"Sales"
17030,"Sales"
17035,"Sales"
17039,"Sales"
17042,"Sales"
17061,"Sales"
17063,"Sales"
17064,"Sales"
17069,"Sales"
17077,"Sales"
17089,"Sales"
17102,"Sales"
17105,"Sales"
17109,"Sales"
17123,"Sales"
17124,"Sales"
17146,"Sales"
17149,"Sales"
17152,"Sales"
17169,"Sales"
17170,"Sales"
17173,"Sales"
17176,"Sales"
17185,"Sales"
17192,"Sales"
17197,"Sales"
17202,"Sales"
17208,"Sales"
17238,"Sales"
17245,"Sales"
17251,"Sales"
17255,"Sales"
17256,"Sales"
17266,"Sales"
17275,"Sales"
17278,"Sales"
17279,"Sales"
17283,"Sales"
17291,"Sales"
17295,"Sales"
17298,"Sales"
17300,"Sales"
17328,"Sales"
17332,"Sales"
17334,"Sales"
17335,"Sales"
17343,"Sales"
17352,"Sales"
17353,"Sales"
17354,"Sales"
17367,"Sales"
17370,"Sales"
17374,"Sales"
17377,"Sales"
17378,"Sales"
17388,"Sales"
17399,"Sales"
17401,"Sales"
17407,"Sales"
17410,"Sales"
17420,"Sales"
17421,"Sales"
17429,"Sales"
17436,"Sales"
17440,"Sales"
17446,"Sales"
17447,"Sales"
17450,"Sales"
17456,"Sales"
17459,"Sales"
17462,"Sales"
17467,"Sales"
17468,"Sales"
17469,"Sales"
17481,"Sales"
17482,"Sales"
17513,"Sales"
17534,"Sales"
17536,"Sales"
17538,"Sales"
17545,"Sales"
17548,"Sales"
17553,"Sales"
17560,"Sales"
17573,"Sales"
17594,"Sales"
17599,"Sales"
17606,"Sales"
17607,"Sales"
17608,"Sales"
17611,"Sales"
17616,"Sales"
17629,"Sales"
17632,"Sales"
17641,"Sales"
17644,"Sales"
17646,"Sales"
17647,"Sales"
17660,"Sales"
17662,"Sales"
17666,"Sales"
17670,"Sales"
17671,"Sales"
17675,"Sales"
17681,"Sales"
17683,"Sales"
17687,"Sales"
17690,"Sales"
17695,"Sales"
17706,"Sales"
17712,"Sales"
17732,"Sales"
17735,"Sales"
17767,"Sales"
17769,"Sales"
17790,"Sales"
17791,"Sales"
17794,"Sales"
17796,"Sales"
17797,"Sales"
17801,"Sales"
17805,"Sales"
17810,"Sales"
17823,"Sales"
17829,"Sales"
17830,"Sales"
17832,"Sales"
17836,"Sales"
17848,"Sales"
17851,"Sales"
17854,"Sales"
17874,"Sales"
17881,"Sales"
17886,"Sales"
17894,"Sales"
17904,"Sales"
17909,"Sales"
17914,"Sales"
17921,"Sales"
17924,"Sales"
17938,"Sales"
17942,"Sales"
17945,"Sales"
17951,"Sales"
17961,"Sales"
17963,"Sales"
17969,"Sales"
17971,"Sales"
17974,"Sales"
17975,"Sales"
17977,"Sales"
17979,"Sales"
17981,"Sales"
17982,"Sales"
17984,"Sales"
17986,"Sales"
17991,"Sales"
17992,"Sales"
17994,"Sales"
17998,"Sales"
18001,"Sales"
18004,"Sales"
18006,"Sales"
18012,"Sales"
18015,"Sales"
18016,"Sales"
18018,"Sales"
18019,"Sales"
18024,"Sales"
18026,"Sales"
18038,"Sales"
18040,"Sales"
18058,"Sales"
18065,"Sales"
18086,"Sales"
18090,"Sales"
18108,"Sales"
18118,"Sales"
18119,"Sales"
18128,"Sales"
18132,"Sales"
18135,"Sales"
18151,"Sales"
18159,"Sales"
18163,"Sales"
18164,"Sales"
18166,"Sales"
18174,"Sales"
18179,"Sales"
18180,"Sales"
18183,"Sales"
18194,"Sales"
18224,"Sales"
18231,"Sales"
18238,"Sales"
18244,"Sales"
18246,"Sales"
18258,"Sales"
18265,"Sales"
18270,"Sales"
18274,"Sales"
18277,"Sales"
18283,"Sales"
18284,"Sales"
18285,"Sales"
18297,"Sales"
18302,"Sales"
18304,"Sales"
18306,"Sales"
18312,"Sales"
18314,"Sales"
18318,"Sales"
18319,"Sales"
18345,"Sales"
18353,"Sales"
18354,"Sales"
18361,"Sales"
18363,"Sales"
18369,"Sales"
18386,"Sales"
18388,"Sales"
18401,"Sales"
18404,"Sales"
18407,"Sales"
18409,"Sales"
18412,"Sales"
18419,"Sales"
18426,"Sales"
18430,"Sales"
18435,"Sales"
18443,"Sales"
18451,"Sales"
18454,"Sales"
18460,"Sales"
18463,"Sales"
18470,"Sales"
18473,"Sales"
18474,"Sales"
18479,"Sales"
18484,"Sales"
18490,"Sales"
18492,"Sales"
18496,"Sales"
18512,"Sales"
18519,"Sales"
18527,"Sales"
18531,"Sales"
18538,"Sales"
18539,"Sales"
18554,"Sales"
18557,"Sales"
18581,"Sales"
18582,"Sales"
18590,"Sales"
18591,"Sales"
18597,"Sales"
18601,"Sales"
18602,"Sales"
18603,"Sales"
18607,"Sales"
18612,"Sales"
18628,"Sales"
18634,"Sales"
18639,"Sales"
18641,"Sales"
18652,"Sales"
18657,"Sales"
18659,"Sales"
18664,"Sales"
18679,"Sales"
18688,"Sales"
18694,"Sales"
18697,"Sales"
18701,"Sales"
18703,"Sales"
18706,"Sales"
18707,"Sales"
18711,"Sales"
18714,"Sales"
18725,"Sales"
18729,"Sales"
18735,"Sales"
18751,"Sales"
18759,"Sales"
18760,"Sales"
18763,"Sales"
18765,"Sales"
18771,"Sales"
18776,"Sales"
18788,"Sales"
18789,"Sales"
18792,"Sales"
18809,"Sales"
18812,"Sales"
18815,"Sales"
18820,"Sales"
18839,"Sales"
18843,"Sales"
18848,"Sales"
18858,"Sales"
18859,"Sales"
18862,"Sales"
18869,"Sales"
18870,"Sales"
18872,"Sales"
18878,"Sales"
18882,"Sales"
18885,"Sales"
18886,"Sales"
18892,"Sales"
